phone,longitude,price_level,rating,position,reviews,name,type,latitude,address,description,hours,thumbnail,website
077180 42147,72.83475849999999,2,4.2,1,3130,Bombay Coffee House,Cafe,19.0632296,"Neelkamal Building, 248, Waterfield Road, opposite National College, Khar, Bandra West, Mumbai, Maharashtra 400050, India",,Closed ⋅ Opens 9 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npU8Ksj-uSt75ofZdW6V83VC_kpTqY2Wg1hTRSuL8C_2IIVPNCkMaZA1THPLLfQWG0bNRhPyW-7THGjv2nXjw90aje6lQ2UJytmo3z3QAqWpFJY7W8WX6KwdUPzQDcF_Dw_OCXH=w122-h92-k-no,https://bombaycoffeehouse.com/
081477 38399,72.8079259,0,4.8,2,719,Third Wave Coffee,Cafe,18.963473,"CrossWord Bookstore, Kemps Corner Flyover, Babulnath, Kemps Corner, Tardeo, Mumbai, Maharashtra 400026, India",,Closed ⋅ Opens 10 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no7fx6rI0afb0ok3iaHCOAoGRLQG5HBxbOH8WZHsRF2E2T_5_eALJWhZzjxhM4ntP2-zzG36jiIIV76_Kr0RFhsrzLEEoZNbBkXt8RnF1A3fW62r7shQ7lH-gIMJtmbJ_MzLmke2A=w80-h142-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-kemps-corner-mumbai/
091366 50277,72.82637989999999,0,4.5,3,717,KCROASTERS By Koinonia,Coffee shop,19.0731907,"6, Chuim Village Rd, Khar, Chuim Village, Danda, Khar West, Mumbai, Maharashtra 400052, India","Cozy spot for coffee & vegan drinks. Organic coffee roasted on site, offered with snacks & vegan drinks in a cozy, wood-lined space.",Closed ⋅ Opens 7 AM,https://lh3.googleusercontent.com/p/AF1QipM2Sk29ZjO73wDvEdnVKT2G52E_9fW_nJATv4bt=w80-h100-k-no,http://kcroasters.com/
080500 03543,72.8137461,0,4.6,4,553,Third Wave Coffee,Cafe,18.9553867,"Plot No 29, Dr N A Purandare Marg Chowpatty Marine Lines, Girgaon, Mumbai, Maharashtra 400007, India",,Closes soon ⋅ 1 AM ⋅ Reopens 7 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq7vqhMYW5opRIjrHURFNODqJH-PN4LAvilJyaubajFO8EC4mYAa7YqM6eIfErTgD3m_GU-auqQqq24Rp5tuqznbSEppJZMNhKRIh68Rsbgw2FBODzo55hre5mY9NSjUZU0R-lB6A=w80-h106-k-no,https://cafe.thirdwavecoffee.in/coffee-cafe-mumbai-32255/home?utm_source=gmb
099302 03882,72.824591,0,4.5,5,4217,Boojee Cafe,Cafe,19.0606827,"Shop No 6, 29, New Kantwadi Rd, off Perry Cross Road, Bandra West, Mumbai, Maharashtra 400050, India",,Closed ⋅ Opens 7 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqyNgCfPAlHKQ_l9YDjlMEFr6l68KUbN2F_reheZy-oJbkub_AdaTiwX93WqEShokzVs3kRfztPvguzDSIeCxylUS5oBrhhuS2ALJrmD5tIv9IAHcwrsQ6B63C7CLrcsSWM0sorfg=w80-h106-k-no,http://www.boojeecafe.com/
080500 03493,72.8237114,0,4.8,6,1305,Third Wave Coffee,Cafe,18.9148661,"Ground Floor, Star Mansion, Plot No 66, Wodehouse Rd, Cuffe Parade, Mumbai, Maharashtra 400005, India",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npdlLfB_Bi1wnzZqwo2umQKutfEDMeCm2xCLhEiMc2U97BhtxIp3tKadn_trq_C9-M-chJ1Dif9ynE6h-nBI6rATzc3ofp4X5Xfi3obpU1gzXV_W0nIFWeFMIoDl0WXgXjSobe37Q=w80-h106-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-cuffe-parade-mumbai/
096209 51522,72.8259997,0,4.7,7,1088,Third Wave Coffee,Cafe,19.1059669,"Gate B, 27, Juhu Rd, opposite Prithivi Theatre, Janki Kutir, Juhu, Mumbai, Maharashtra 400049, India",,Closed ⋅ Opens 8 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqMAMFJ4GRUDWWRcW4efA1MefgG00af3ytVy9bmXDQDMO64JnTbpdoMhQuapFMmNgDqevu0iluOEnXvwSo6Afva9XJgFKzD-FtxTit5iwnfYFf09u6hzCr33iiOCZYgw9-tQCnf=w80-h106-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-juhu-mumbai/
080957 99880,72.8462018,0,4.7,8,1499,Third Wave Coffee,Cafe,19.0408896,"Unit no.58, Ground, Ram Mahal, Tip Road, Senapati Bapat Marg, Station, Mahim, Mumbai, Maharashtra 400016, India",,Closed ⋅ Opens 8 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqJ7kbNxBXJWp_Hisj_wZA05n8ZmJJakJOugyNF8zYbfYzqtMh186cI8drgp3BTgnlUMdTkkBi2Vnvejq0clSNZ7nPD9iL-DLBtUWtdyfZjqOBp0FNs7pJDrJ6rSp6lCR4u4teVtA=w198-h92-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-mahim-mumbai/
089048 74344,72.8765556,0,4.9,9,448,Third Wave Coffee,Cafe,19.0718611,"Equinox Tower 3, Lal Bahadur Shastri Road, Road, off BKC, Ambedkar Nagar, Kurla, Mumbai, Maharashtra 400070, India",,Closed ⋅ Opens 7:30 AM,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEfprHudrRB3YcCsrCp-P03NdIUPYh_zCWHUuWQG7ey8CNMf3WrxjDJXklX-i0n-mKz2C5kaTOM1oKGq2HXFes_WLT6EjlgNoCEGwvHIfoiWU6UUb8hATMNSWV44zzZ5cMWKyo8WQMRQr86vy7iNR-GjtyJHIl-OshOzQn_rpvne6VWVzbV4TDU=w82-h92-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-equinox-bkc-mumbai/
080957 99883,72.91640869999999,0,4.8,10,851,Third Wave Coffee,Cafe,19.1001618,"R City Mall, G 73A, Lal Bahadur Shastri Marg, Amrut Nagar, Ghatkopar West, Mumbai, Maharashtra 400086, India",,Closed ⋅ Opens 11 AM,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrXH3i0pRBgBw34XpRu-T7THZPvDEDWaYVgZvmLA2xxSeEbl3tcPvKiqc-ks9-VAIbgL_YDypgk2mTPs9U0aeZ_pCjE5x0oILAV66Q4a-fRtbQ6e2wYCiNd3-nvmHwQThjTKuQ=w85-h92-k-no,https://stores.thirdwavecoffeeroasters.com/store-pages/third-wave-coffee-r-city-mall-mumbai/
